id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13046581,Beautiful Apartment-5 Beds-Parking-Super Clean!,19488432,Julian,,West Roxbury,42.25979,-71.15911,Entire home/apt,88,3,218,2021-11-13,3.45,1,159,16,STR-391798
13046976,Sunny renovated 1 bed in friendly East Boston,507084,Nicole,,East Boston,42.3786,-71.03977,Entire home/apt,147,91,37,2017-08-10,0.55,1,0,0,
13054720,Brownstone near Northeastern University/91 day min,72272410,Jennifer,,Roxbury,42.33722,-71.08359,Entire home/apt,59,91,176,2021-08-24,2.61,3,107,1,
13062783,Boston bedroom near Fenway,44620221,Michael,,Mission Hill,42.33074,-71.10697,Private room,29,91,4,2016-09-01,0.06,1,0,0,
13063952,3 min to T stop-Boston/Somerville/Cambridge access,21745230,Jurek,,Charlestown,42.38362,-71.07863,Private room,59,29,20,2021-02-06,0.30,11,217,2,
13077603,Big and comfortable room with queen bed.,67103816,Firlian,,Roxbury,42.31801,-71.09005,Private room,36,30,22,2021-11-28,0.32,7,45,2,
13082258,"47 Symphony Road, Apt 501",27569517,Anna,,Fenway,42.34353,-71.08998,Private room,52,91,2,2016-06-14,0.03,1,0,0,
13083058,Sunny Studio at Fenway,48018479,Yining,,Fenway,42.34712,-71.1039,Entire home/apt,100,91,12,2016-08-27,0.18,1,0,0,
13091712,Ideal for Families - Spacious Charlestown Townhome,54995023,Tim,,Charlestown,42.38061,-71.06905,Entire home/apt,400,2,34,2021-09-04,0.78,1,46,15,STR-388417
13166405,Spacious loft in the quiet suburbs #4,7324551,Bo,,Brighton,42.34636,-71.15563,Private room,36,30,5,2019-12-23,0.08,4,107,0,
13173203,North End 1 Bdrm -NEAR MGH- Boston's Little Italy,38997,Michelle,,North End,42.3665,-71.05428,Entire home/apt,100,29,39,2021-01-24,0.58,11,365,1,
